AccountID,TransactionAmount,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,amount_to_balance_ratio,avg_txn_amount_account,txn_amount_account,mean,std,amount_zscore,diff_btwn_txn_times,avg_time_btwn_txns,amount_to_user_avg,unique_merchant_user,TransactionHour,TransactionDayOfTheWeek,is_night,unique_devices_per_account,unique_ips_per_account,unique_accounts_per_devices,merchant_avg_amount,merchant_amount_deviation,avg_loginAttempts,loginAttemps_excess,TransactionAmount_log
AC00150,17.78,Credit,Albuquerque,D000205,213.15.9.253,M073,Online,52,Engineer,59,1,7599.52,0.0023396214497757753,290.08,7,290.08,344.2913847794239,-0.7908998367021399,600,591.1428571428571,0.0612934362934363,7,16,1,0,6,7,2,333.0779166666667,-315.29791666666665,1.4285714285714286,-0.4285714285714286,2.932792473780117
AC00459,190.02,Debit,Memphis,D000589,116.175.11.222,M030,Online,21,Student,173,1,1528.81,0.12429275057070534,216.2242857142857,7,216.2242857142857,147.7683783106908,-0.17733351352878635,636,501.57142857142856,0.8788097015664952,7,17,0,0,7,7,7,317.32115384615383,-127.30115384615382,1.0,0.0,5.252378134606592
AC00392,494.52,Credit,Mesa,D000032,210.98.198.143,M057,Branch,24,Student,111,1,1620.02,0.30525549067295465,288.1133333333333,3,288.1133333333333,233.33834754136177,0.8845809908295458,515,457.0,1.7164078950413033,3,17,2,0,3,3,7,243.34148148148148,251.1785185185185,1.0,0.0,6.205607716224892
AC00264,781.76,Debit,Memphis,D000054,193.83.0.183,M025,ATM,26,Student,123,1,189.69,4.121250461278929,441.25500000000005,6,441.25500000000005,283.16393264326587,1.2025013101826538,349,402.8333333333333,1.771673975365718,6,16,0,0,6,6,4,269.83612903225804,511.92387096774195,1.5,-0.5,6.662826135596005
AC00085,166.99,Debit,Louisville,D000309,188.124.181.12,M017,Online,18,Student,134,1,299.93,0.55676324475711,282.61833333333334,6,282.61833333333334,254.08378117594728,-0.4550795520996412,629,506.0,0.590867542209458,5,16,0,0,6,6,7,272.02086956521737,-105.03086956521736,1.0,0.0,5.123904453822123
AC00270,465.45,Debit,Denver,D000466,221.169.49.152,M025,ATM,36,Engineer,129,1,3465.54,0.1343080732007133,336.145,2,336.145,182.86488468265304,0.7071067811865476,327,372.0,1.3846703059691503,2,16,1,0,2,2,4,269.83612903225804,195.61387096774195,1.0,0.0,6.14515083340697
AC00317,555.8,Credit,Austin,D000671,53.218.177.171,M048,Branch,19,Student,158,1,1131.26,0.4913105740501741,433.22142857142853,7,433.22142857142853,310.3609456438622,0.3949548844629111,370,508.7142857142857,1.2829466950256385,7,16,0,0,7,7,6,421.338076923077,134.46192307692297,1.2857142857142858,-0.2857142857142858,6.32220610902021
AC00359,492.93,Debit,Columbus,D000432,114.223.129.47,M059,Online,39,Engineer,234,1,5109.97,0.0964643628044783,346.53833333333336,6,346.53833333333336,304.8600422106293,0.4801930276107616,325,483.0,1.422440037898645,6,18,3,0,6,6,4,256.05111111111114,236.87888888888887,1.0,0.0,6.202393806742613
AC00242,18.68,Credit,Albuquerque,D000530,93.218.115.132,M054,Branch,59,Retired,106,1,7948.37,0.002350167392811356,145.5211111111111,9,145.5211111111111,141.20693267722768,-0.8982640491245983,621,506.22222222222223,0.1283662546098695,9,16,1,0,9,9,5,349.35592592592593,-330.6759259259259,1.0,0.0,2.9796028916241073
AC00285,71.48,Credit,Columbus,D000039,120.170.93.69,M039,Online,18,Student,169,1,6568.59,0.010882091894911999,405.2242857142857,7,405.2242857142857,410.2039768561142,-0.8136056804523668,514,469.2857142857143,0.17639614040901513,7,18,3,0,7,7,6,248.334,-176.85399999999998,1.0,0.0,4.283310661734724
AC00002,59.32,Debit,Los Angeles,D000152,116.44.12.250,M040,Branch,71,Retired,38,1,5750.89,0.010314925168104415,293.7442857142857,7,293.7442857142857,195.69509079663897,-1.1979058072432336,614,509.57142857142856,0.2019443539327209,6,16,1,0,7,7,1,291.15999999999997,-231.83999999999997,1.1428571428571428,-0.1428571428571428,4.099663723699701
AC00014,85.77,Debit,Las Vegas,D000268,59.132.247.252,M065,Branch,38,Doctor,93,1,9146.19,0.009377675294302872,348.25333333333333,9,348.25333333333333,265.04227511851764,-0.9903451561301305,450,462.6666666666667,0.24628622841609554,8,18,4,0,9,9,5,240.50181818181818,-154.7318181818182,1.0,0.0,4.463260939805398
AC00095,52.2,Debit,Atlanta,D000142,133.63.96.21,M022,Online,39,Engineer,120,1,8974.93,0.005816201351988261,397.73375,8,397.73375,503.0761065098117,-0.6868419023062088,516,510.375,0.13124357689031924,8,18,1,0,8,8,9,207.22117647058826,-155.02117647058827,1.0,0.0,3.9740583963475986
AC00453,345.84,Debit,Fort Worth,D000162,191.82.103.198,M083,Online,22,Student,142,3,1402.5,0.24658823529411764,263.41111111111115,9,263.41111111111115,153.76499564631447,0.5360705701737815,551,560.3333333333334,1.3129286708567087,9,18,1,0,9,9,4,256.1554545454546,89.6845454545454,1.2222222222222223,1.7777777777777777,5.8488635785089595
AC00241,145.54,Debit,Raleigh,D000036,119.186.154.104,M028,Online,21,Student,96,1,1930.96,0.07537183577080829,193.63444444444445,9,193.63444444444445,118.76762123061057,-0.40494575833138635,612,508.1111111111111,0.7516224730448553,8,16,3,0,8,9,2,312.6157575757576,-167.0757575757576,1.2222222222222223,-0.22222222222222232,4.987298428731818
AC00041,7.49,Credit,Houston,D000671,81.248.235.147,M043,Online,65,Retired,276,1,3634.67,0.0020607097755779755,164.24,7,164.24,150.19008156333095,-1.0436774410692553,380,476.7142857142857,0.04560399415489527,7,17,4,0,7,7,6,223.77833333333334,-216.28833333333333,1.0,0.0,2.138889000323256
AC00441,246.93,Debit,Miami,D000046,55.154.161.250,M029,ATM,23,Student,158,5,673.35,0.36671864557807976,317.9483333333333,6,317.9483333333333,282.79096084681817,-0.2511336752796792,566,499.3333333333333,0.7766356168979237,6,16,0,0,6,6,8,271.2928,-24.362799999999993,1.6666666666666667,3.333333333333333,5.513146448258161
AC00057,40.32,Debit,Milwaukee,D000310,21.28.32.1,M008,Branch,37,Engineer,95,1,2686.52,0.015008263478403288,225.52399999999997,5,225.52399999999997,233.03306177450446,-0.7947541803283411,585,572.2,0.17878363278409395,5,16,2,0,5,5,7,222.6319047619048,-182.3119047619048,1.2,-0.19999999999999996,3.721346644251438
AC00390,127.45,Debit,Las Vegas,D000232,152.234.65.155,M092,Online,44,Doctor,197,1,1772.06,0.07192194395223639,161.08142857142857,7,161.08142857142857,191.64424588531838,-0.175488851314398,649,516.7142857142857,0.7912147361139441,7,16,1,0,7,7,7,344.25363636363636,-216.80363636363637,1.0,0.0,4.855539723555893
AC00313,56.17,Debit,Detroit,D000297,33.28.138.82,M043,Branch,27,Student,283,1,1351.69,0.041555386220213215,247.89999999999998,3,247.89999999999998,357.1939524963994,-0.5367672063315032,410,402.6666666666667,0.2265832997176281,3,16,2,0,3,3,4,223.77833333333334,-167.60833333333335,1.0,0.0,4.04602928527588
AC00367,28.31,Credit,Miami,D000587,35.67.21.23,M091,Online,59,Doctor,20,1,8334.47,0.0033967366851161505,233.61428571428573,7,233.61428571428573,179.75422626993995,-1.1421388524460996,475,480.57142857142856,0.12118265761633949,7,17,0,0,7,7,3,287.6629032258064,-259.3529032258064,1.0,0.0,3.377928754722801
AC00291,59.12,Debit,Baltimore,D000282,187.199.178.27,M053,ATM,29,Doctor,257,1,9823.64,0.006018135843740203,404.0185714285714,7,404.0185714285714,409.36843504877817,-0.8425138381455207,636,503.57142857142856,0.1463299070410483,7,16,0,0,7,7,4,305.6141666666667,-246.49416666666667,1.0,0.0,4.0963425648847736
AC00060,396.45,Debit,New York,D000621,133.67.250.163,M007,ATM,49,Engineer,168,3,9690.15,0.040912679370288384,388.18,4,388.18,234.76214416582016,0.03522714460368283,405,407.25,1.0213045494358286,4,16,0,0,4,4,5,323.22620689655173,73.22379310344826,1.5,1.5,5.985069140019122
AC00359,877.81,Debit,Los Angeles,D000111,134.140.85.231,M094,Online,22,Student,150,1,399.0,2.2000250626566413,346.53833333333336,6,346.53833333333336,304.8600422106293,1.7426739916922545,601,483.0,2.5330819582249195,6,17,0,0,6,6,3,249.27999999999997,628.53,1.0,0.0,6.778568719599104
AC00365,255.26,Credit,San Francisco,D000357,92.214.76.157,M002,Branch,45,Doctor,50,1,14815.87,0.01722882287709058,197.974,5,197.974,101.13870638880053,0.5664102502930916,373,500.0,1.289361229252326,5,16,4,0,5,5,3,290.42709677419356,-35.16709677419357,1.0,0.0,5.54619255408143
AC00267,124.76,Debit,Seattle,D000042,59.145.242.13,M002,Branch,49,Engineer,45,1,5764.72,0.021641987815540043,200.31099999999998,10,200.31099999999998,223.27182871757216,-0.338381247799821,384,508.8,0.6228314970221307,9,16,0,0,9,10,5,290.42709677419356,-165.66709677419357,1.0,0.0,4.834375328680896
AC00404,78.13,Debit,Milwaukee,D000250,33.28.138.82,M028,Branch,26,Student,145,1,900.61,0.08675231232164865,87.4125,4,87.4125,27.82889790008461,-0.3335561484801659,348,464.0,0.8938080938080938,4,16,1,0,4,4,5,312.6157575757576,-234.4857575757576,1.0,0.0,4.371092069621102
AC00202,649.28,Debit,San Jose,D000448,73.108.76.238,M074,ATM,75,Retired,137,1,4875.86,0.13316214985664068,310.1766666666667,12,310.1766666666667,201.27868203668325,1.684745398280834,612,446.6666666666667,2.093258680536898,12,17,3,0,12,12,2,330.61925925925925,318.6607407407407,1.0,0.0,6.477403039366023
AC00478,795.31,Debit,Mesa,D000077,49.29.37.185,M048,ATM,66,Doctor,90,2,7914.88,0.10048288792754911,435.1857142857143,7,435.1857142857143,255.455974866978,1.409731308503592,388,504.85714285714283,1.8275186291566816,7,17,3,0,7,7,4,421.338076923077,373.97192307692296,1.1428571428571428,0.8571428571428572,6.6799885572656725
AC00405,335.63,Debit,Oklahoma City,D000038,49.20.211.229,M040,Online,55,Retired,216,1,1019.39,0.3292459215805531,427.675,6,427.675,309.2498545674678,-0.29763959025538983,649,524.3333333333334,0.7847781609867306,6,17,1,0,6,6,7,291.15999999999997,44.47000000000003,1.0,0.0,5.818984404344884
AC00421,328.47,Debit,San Antonio,D000557,6.234.101.35,M014,ATM,63,Retired,119,1,4323.66,0.07597035844631632,221.37333333333333,3,221.37333333333333,119.00508910686692,0.8999335025957887,461,425.0,1.4837830512557972,3,18,0,0,3,3,1,286.90909090909093,41.56090909090909,1.0,0.0,5.797485302756558
AC00480,34.02,Debit,Philadelphia,D000627,109.105.179.186,M046,Online,38,Doctor,19,1,14214.48,0.0023933341212622624,300.8636363636364,11,300.8636363636364,322.54377043349416,-0.8273098438856915,664,576.6363636363636,0.11307448255023418,10,16,0,0,10,11,6,297.62807692307695,-263.60807692307696,1.0,0.0,3.555919326857706
AC00120,241.42,Credit,Charlotte,D000198,60.89.202.192,M044,Online,57,Doctor,116,1,13357.02,0.018074390844664452,290.7633333333333,6,290.7633333333333,226.69533199134622,-0.2176636497094565,563,504.3333333333333,0.8302972635247452,6,18,3,0,6,6,5,291.1075,-49.68750000000003,1.1666666666666667,-0.16666666666666674,5.490671759042366
AC00117,55.32,Debit,Tucson,D000197,173.135.78.201,M009,ATM,19,Student,117,1,241.79,0.22879358120683238,55.32,1,55.32,,0.0,571,571.0,1.0,1,16,2,0,1,1,2,350.868,-295.548,1.0,0.0,4.0310497118497866
AC00011,304.31,Debit,Louisville,D000685,77.208.193.198,M005,Branch,27,Student,33,1,868.61,0.3503413499729453,348.3228571428572,7,348.3228571428572,305.3973512062761,-0.1441166957375781,466,470.85714285714283,0.87364349987286,6,16,2,0,7,7,4,346.8728125,-42.56281250000001,1.5714285714285714,-0.5714285714285714,5.72132765387195
AC00401,435.27,Debit,Chicago,D000297,197.162.55.147,M051,Branch,74,Retired,90,1,4673.28,0.09314014995891537,276.9216666666667,6,276.9216666666667,198.59390498367935,0.7973473976774188,396,417.0,1.5718163379535728,5,17,2,0,6,6,4,292.34043478260867,142.9295652173913,1.0,0.0,6.078261317737981
AC00282,164.49,Debit,Baltimore,D000103,113.115.81.178,M070,Branch,26,Student,75,1,1509.27,0.1089864636546145,297.63,6,297.63,343.14311387524594,-0.38800137498433007,326,473.8333333333333,0.5526660618889225,5,16,2,0,5,6,5,261.320625,-96.830625,1.3333333333333333,-0.33333333333333326,5.108910770030852
AC00439,510.24,Debit,Oklahoma City,D000397,186.135.2.148,M090,Online,19,Student,105,1,781.7,0.6527312268133555,465.0899999999999,9,465.0899999999999,272.55649964732083,0.16565372705630835,391,447.55555555555554,1.0970779849061474,8,16,0,0,9,9,3,175.5325,334.7075,1.2222222222222223,-0.22222222222222232,6.236839147263514
AC00296,626.9,Debit,Denver,D000284,93.146.251.20,M023,Online,26,Student,138,1,265.51,2.3611163421340065,389.09749999999997,4,389.09749999999997,249.13282098444324,0.9545209621932923,342,396.25,1.6111642968664668,4,16,0,0,4,4,4,260.2877777777778,366.61222222222216,1.0,0.0,6.4423809181200635
AC00471,22.01,Credit,Sacramento,D000304,124.6.134.78,M055,Online,41,Engineer,175,1,1335.09,0.016485779984869935,294.90833333333336,6,294.90833333333336,178.5466293623788,-1.5284429300508275,587,518.5,0.07463336064878917,6,16,0,0,6,6,5,305.23,-283.22,1.0,0.0,3.1359289040472746
AC00159,425.34,Credit,Kansas City,D000661,139.23.212.102,M040,Online,69,Retired,121,1,3907.54,0.10885109301504271,204.82799999999997,5,204.82799999999997,144.29790944431593,1.5281718276389502,629,547.8,2.0765715624816923,5,16,0,0,5,5,4,291.15999999999997,134.18,1.0,0.0,6.055237150005048
AC00482,424.56,Debit,Omaha,D000598,179.43.245.131,M015,Online,51,Engineer,264,1,5183.85,0.08190051795480192,265.6716666666667,6,265.6716666666667,258.02317705327687,0.6157909345505265,621,446.3333333333333,1.5980627717169689,5,17,1,0,6,6,3,298.0234375,126.5365625,1.0,0.0,6.053405948648165
AC00115,85.43,Debit,Virginia Beach,D000235,194.174.252.1,M078,Branch,67,Doctor,145,1,14904.9,0.005731672134667123,250.6966666666667,3,250.6966666666667,286.614071066536,-0.5766174216488515,515,609.6666666666666,0.34077038652288955,3,16,2,0,3,3,5,302.108,-216.678,1.0,0.0,4.459334837764547
AC00055,169.5,Debit,San Diego,D000442,42.219.228.159,M036,Branch,28,Student,142,1,918.88,0.18446369493296186,188.22199999999998,5,188.22199999999998,153.6119942257114,-0.12187850365701659,423,433.4,0.9005323500972258,4,16,3,0,5,5,5,361.6628,-192.1628,1.0,0.0,5.1387352967235715
AC00419,104.63,Debit,Omaha,D000642,186.135.2.148,M095,ATM,62,Retired,90,1,4477.78,0.023366489644422013,280.6066666666666,3,280.6066666666666,173.58652434256908,-1.0137691697736897,585,549.3333333333334,0.372870684944525,3,17,2,0,3,3,4,205.84,-101.21000000000001,1.0,0.0,4.659942421835071
AC00374,316.95,Debit,Mesa,D000013,81.102.230.41,M052,Branch,25,Student,83,1,1324.03,0.23938279344123622,222.90833333333333,6,222.90833333333333,176.7331523417909,0.5321110692621831,457,465.8333333333333,1.4218849302777674,6,17,4,0,6,6,5,295.00925925925924,21.94074074074075,1.0,0.0,5.7618941377134165
AC00271,60.54,Credit,Columbus,D000462,1.198.76.182,M095,Branch,57,Retired,52,1,3534.93,0.01712622315010481,142.30599999999998,5,142.30599999999998,134.60441812956955,-0.6074540578697234,325,446.2,0.4254212752800304,5,17,3,0,5,5,3,205.84,-145.3,1.0,0.0,4.119687369893896
AC00456,292.56,Credit,Dallas,D000311,198.73.211.114,M075,Branch,68,Retired,61,1,4638.37,0.06307388155752991,280.9636363636364,11,280.9636363636364,308.0160382925775,0.037648570836264314,611,528.9090909090909,1.0412735391186176,11,17,4,0,11,11,6,465.58578947368414,-173.02578947368414,1.4545454545454546,-0.4545454545454546,5.682082047676862
AC00143,386.52,Debit,Indianapolis,D000145,186.54.68.246,M064,Branch,48,Engineer,28,1,5630.61,0.0686462035196897,275.756,5,275.756,150.14777997026795,0.737699884886299,513,509.6,1.4016739436313264,5,16,4,0,5,5,4,323.90931034482753,62.61068965517245,1.0,0.0,5.959767460364727
AC00427,112.07,Debit,Kansas City,D000089,198.166.198.233,M064,Branch,23,Student,51,1,930.3,0.12046651617757713,266.39444444444445,9,266.39444444444445,307.1054410585683,-0.5025128956116838,398,422.8888888888889,0.42069195637212986,8,16,0,0,9,9,2,323.90931034482753,-211.83931034482754,1.0,0.0,4.728007095947154
AC00438,568.52,Debit,Indianapolis,D000233,27.143.109.203,M094,ATM,46,Engineer,152,1,5499.91,0.1033689642194145,165.69125,8,165.69125,170.71193501146058,2.3596988105896433,394,431.25,3.4312011044638746,8,18,4,0,8,8,2,249.27999999999997,319.24,1.375,-0.375,6.344793900795618
AC00002,263.99,Debit,Dallas,D000285,7.146.35.122,M087,Branch,79,Retired,227,2,4175.02,0.06323083482234815,293.7442857142857,7,293.7442857142857,195.69509079663897,-0.15204410899201112,537,509.57142857142856,0.8987068441452966,6,16,1,0,7,7,4,227.97639999999998,36.013600000000025,1.1428571428571428,0.8571428571428572,5.5796920894251505
AC00425,349.64,Debit,Las Vegas,D000516,9.230.41.239,M097,Online,48,Engineer,226,1,6651.62,0.05256463838884362,355.30571428571426,7,355.30571428571426,189.08308754417487,-0.029964151523549722,362,487.85714285714283,0.9840539736404063,6,16,1,0,7,7,4,300.9611538461538,48.678846153846166,1.0,0.0,5.859760056110554
AC00325,601.4,Credit,Philadelphia,D000548,125.225.212.244,M001,Branch,56,Engineer,104,1,8458.29,0.07110184209810728,331.656,5,331.656,220.9524802531078,1.2208235892667962,523,500.4,1.813324649636973,5,17,1,0,5,5,9,260.0025,341.3975,1.4,-0.3999999999999999,6.400921676485684
AC00434,5.77,Debit,Charlotte,D000461,155.164.18.235,M071,Online,50,Doctor,124,1,13988.12,0.0004124928868211024,257.0142857142857,7,257.0142857142857,345.62075279401955,-0.7269363418811264,367,503.7142857142857,0.02245011394586182,7,16,3,0,7,7,4,313.5111111111112,-307.7411111111112,1.0,0.0,1.9125010869241836
AC00242,201.33,Credit,Nashville,D000098,145.246.171.225,M003,Branch,42,Engineer,186,1,2585.07,0.07788183685548167,145.5211111111111,9,145.5211111111111,141.20693267722768,0.39522768344849935,585,506.22222222222223,1.3835106017454513,9,17,2,0,9,9,5,214.01692307692306,-12.686923076923051,1.0,0.0,5.3099000277911035
AC00319,298.42,Debit,Indianapolis,D000435,92.214.76.157,M005,Branch,56,Retired,225,1,3014.75,0.09898664897586865,333.68600000000004,5,333.68600000000004,198.6430049863322,-0.17753456761503647,558,470.8,0.8943138159826902,5,16,1,0,5,5,3,346.8728125,-48.45281249999999,1.0,0.0,5.70184727002169
AC00460,521.06,Debit,Albuquerque,D000305,131.41.45.13,M063,Branch,25,Student,128,1,1951.42,0.2670158141250986,464.195,12,464.195,463.109979996898,0.1227894073895381,565,503.1666666666667,1.122502396622109,10,18,1,0,12,12,3,152.4961904761905,368.5638095238095,1.1666666666666667,-0.16666666666666674,6.257782523805988
AC00461,117.28,Credit,Austin,D000128,46.150.175.171,M057,Online,60,Engineer,16,1,3665.77,0.031993278356252576,167.73333333333332,3,167.73333333333332,163.4484754695905,-0.30868035439535274,633,518.3333333333334,0.6992050874403816,3,16,3,0,3,3,6,243.34148148148148,-126.06148148148148,1.0,0.0,4.7730546949842765
AC00395,189.12,Credit,Indianapolis,D000684,125.89.163.224,M040,Branch,32,Engineer,103,1,977.01,0.19357017840144933,317.4166666666667,3,317.4166666666667,111.56583273266656,-1.1499637794493092,356,453.6666666666667,0.5958099238645314,3,16,0,0,3,3,4,291.15999999999997,-102.03999999999996,1.0,0.0,5.247655451745809
AC00217,133.55,Debit,Atlanta,D000201,40.226.196.34,M091,ATM,44,Engineer,220,1,3846.28,0.03472186112295517,232.59666666666666,6,232.59666666666666,414.5652558363601,-0.2389169504010799,474,461.0,0.5741698791900143,6,16,1,0,6,6,3,287.6629032258064,-154.1129032258064,1.0,0.0,4.901935877172915
AC00053,143.21,Debit,Dallas,D000410,65.164.3.100,M066,Online,35,Engineer,135,1,6374.82,0.02246494802990516,100.47285714285715,7,100.47285714285715,71.64700708200952,0.5964958565292827,660,507.42857142857144,1.42536008303593,7,17,4,0,7,7,5,351.43382352941177,-208.22382352941176,1.0,0.0,4.971270570573979
AC00282,24.77,Debit,Boston,D000180,9.230.41.239,M070,ATM,62,Retired,55,1,5866.01,0.00422263173775701,297.63,6,297.63,343.14311387524594,-0.7951784225493791,488,473.8333333333333,0.08322413735174546,5,18,1,0,5,6,4,261.320625,-236.550625,1.3333333333333333,-0.33333333333333326,3.2492110246642736
AC00110,233.92,Credit,Jacksonville,D000295,152.140.239.181,M046,Online,26,Student,280,1,6537.62,0.03578060517436009,313.47125,8,313.47125,399.3111939484041,-0.19922118689785343,380,499.125,0.7462247335281943,8,16,4,0,8,8,7,297.62807692307695,-63.70807692307696,1.125,-0.125,5.459245030654318
AC00265,1212.51,Debit,Indianapolis,D000231,193.83.0.183,M036,Branch,20,Student,24,1,605.95,2.001006683719779,439.2888888888889,9,439.2888888888889,414.9203544189067,1.8635410455917554,396,522.0,2.7601654188587617,8,16,2,0,9,9,3,361.6628,850.8471999999999,1.0,0.0,7.10127226575899
AC00239,232.12,Debit,Omaha,D000073,156.173.170.140,M066,ATM,37,Engineer,51,1,6689.87,0.03469723626916517,207.22799999999998,5,207.22799999999998,91.60973458099308,0.2717178486964479,311,478.0,1.1201189028509662,5,17,3,0,5,5,7,351.43382352941177,-119.31382352941176,1.2,-0.19999999999999996,5.4515533424468945
AC00007,162.63,Debit,Kansas City,D000070,60.153.124.80,M060,Online,22,Student,113,1,634.17,0.25644543261270636,299.07599999999996,5,299.07599999999996,240.23640696197566,-0.567965537469916,510,419.0,0.5437748264655138,5,17,0,0,5,5,4,333.30766666666665,-170.67766666666665,1.0,0.0,5.0976077814408045
AC00022,91.53,Debit,Milwaukee,D000363,94.37.250.128,M095,Branch,44,Doctor,69,1,14676.05,0.006236691752889913,193.92000000000002,4,193.92000000000002,224.14321061916348,-0.45680616297572574,601,532.0,0.4719987623762376,4,16,0,0,4,4,3,205.84,-114.31,1.0,0.0,4.527532916260939
AC00464,120.29,Debit,Miami,D000561,162.198.218.92,M045,Branch,19,Student,77,1,1362.39,0.08829336680392545,337.77125,8,337.77125,476.57469899983744,-0.4563424169525084,321,425.875,0.3561285929456696,7,18,0,0,8,8,4,277.75619047619045,-157.46619047619043,1.0,0.0,4.798184372320789
AC00014,174.25,Debit,Seattle,D000375,130.92.201.49,M032,Online,50,Doctor,67,1,10528.34,0.01655056732590323,348.25333333333333,9,348.25333333333333,265.04227511851764,-0.6565116197237785,475,462.6666666666667,0.5003541483211456,8,18,0,0,9,9,2,388.02500000000003,-213.77500000000003,1.0,0.0,5.166213525914699
AC00406,183.71,Debit,Denver,D000488,86.103.2.29,M074,ATM,38,Engineer,102,1,552.52,0.33249475132121914,183.71,1,183.71,,0.0,503,503.0,1.0,1,18,0,0,1,1,3,330.61925925925925,-146.90925925925924,1.0,0.0,5.218787027591229
AC00445,345.39,Credit,Phoenix,D000097,131.41.45.13,M081,Online,58,Engineer,80,1,6451.96,0.05353256994773681,357.5,5,357.5,232.56962366138876,-0.05207042867142291,377,430.0,0.9661258741258741,5,17,0,0,5,5,5,441.5117391304348,-96.12173913043483,1.0,0.0,5.847565307911304
AC00236,922.55,Debit,Detroit,D000206,21.97.154.92,M004,ATM,63,Retired,87,1,4715.84,0.1956279263079324,345.3999999999999,6,345.3999999999999,311.6841375495391,1.85171438154522,650,527.1666666666666,2.670961204400695,5,16,0,0,6,6,3,265.2683870967742,657.2816129032258,1.0,0.0,6.828224940025329
AC00220,259.91,Debit,Denver,D000616,36.13.239.172,M028,Online,49,Doctor,170,1,7176.86,0.0362150021039842,425.175,6,425.175,488.14155400867065,-0.3385595810125693,363,428.0,0.6113012289057448,6,16,0,0,6,6,5,312.6157575757576,-52.70575757575756,1.0,0.0,5.564175520269783
