AccountID,TransactionAmount,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,amount_to_balance_ratio,avg_txn_amount_account,txn_amount_account,mean,std,amount_zscore,diff_btwn_txn_times,avg_time_btwn_txns,amount_to_user_avg,unique_merchant_user,TransactionHour,TransactionDayOfTheWeek,is_night,unique_devices_per_account,unique_ips_per_account,unique_accounts_per_devices,merchant_avg_amount,merchant_amount_deviation,avg_loginAttempts,loginAttemps_excess,TransactionAmount_log,AnomalyFlag,AnomalyScore
AC00007,137.48,Debit,Seattle,D000206,66.255.7.16,M058,Branch,55,Doctor,47,1,14273.42,0.0096318892038488,299.076,5,299.076,240.2364069619757,-0.6726540828825216,342,419.0,0.4596824887319611,5,17,0,0,5,5,3,348.9725925925926,-211.49259259259264,1.0,0.0,4.930725910867953,0,-0.07427166874738866
AC00138,355.0,Credit,Fort Worth,D000052,115.241.186.164,M053,Online,26,Student,33,1,185.47,1.9140561815927104,208.2,2,208.2,207.60655095637037,0.7071067811865476,432,537.5,1.7050912584053797,2,16,1,0,2,2,4,305.6141666666667,49.38583333333332,1.5,-0.5,5.87493073085203,0,-0.021842964610712223
AC00204,720.46,Debit,Tucson,D000280,19.20.13.234,M068,Branch,54,Retired,44,1,3101.54,0.2322910554111828,379.82142857142856,7,379.82142857142856,266.5383178474577,1.2780097592704178,332,412.2857142857143,1.8968387400094031,7,16,3,0,7,7,8,302.5021875,417.9578125000001,1.0,0.0,6.581276936621629,0,-0.04289772940980213
AC00317,179.76,Debit,Philadelphia,D000038,193.190.29.63,M039,Online,78,Retired,81,1,5909.52,0.0304187142102911,433.2214285714285,7,433.2214285714285,310.3609456438622,-0.8166666332505457,480,508.7142857142857,0.4149379235297027,7,16,2,0,7,7,7,248.334,-68.57400000000001,1.2857142857142858,-0.2857142857142858,5.197170184543078,0,-0.0709750980143003
AC00098,137.57,Debit,Louisville,D000218,40.10.25.102,M067,Online,54,Engineer,70,1,5103.67,0.0269551126934147,642.514,5,642.514,568.888066345217,-0.8875981583582491,328,438.6,0.2141120660405843,5,17,0,0,5,5,5,346.5332,-208.96320000000003,1.0,0.0,4.931375613110624,0,-0.06696797541111188
AC00059,126.91,Debit,Kansas City,D000268,86.103.2.29,M050,ATM,22,Student,42,1,692.69,0.1832132700053415,148.2425,4,148.2425,134.88287051487796,-0.1581557385201627,438,465.0,0.8560972730492267,3,16,2,0,4,4,5,353.62791666666664,-226.71791666666664,1.0,0.0,4.8513268916113015,0,-0.08301381316547563
AC00495,689.54,Debit,Oklahoma City,D000395,89.6.100.149,M038,Branch,27,Student,93,1,1633.76,0.4220570952893938,300.72125,8,300.72125,277.36567896847447,1.4018271887351763,608,462.75,2.2929540230362835,8,16,0,0,8,8,4,336.8874193548387,352.65258064516127,1.5,-0.5,6.537473900208455,0,-0.06940932593603155
AC00116,356.56,Debit,New York,D000399,157.130.28.27,M100,Online,47,Engineer,52,1,2485.73,0.1434427713388018,196.705,6,196.705,172.36425647447908,0.9274254608795226,391,465.0,1.8126636333595996,6,17,0,0,6,6,4,267.6541379310345,88.90586206896552,1.0,0.0,5.879303180219652,0,-0.09001232766538814
AC00386,254.21,Debit,Phoenix,D000487,137.33.78.168,M030,ATM,48,Engineer,46,1,2487.2,0.1022073013830813,217.94625,8,217.94625,203.66544625491653,0.178055485929659,531,467.75,1.1663885017521525,8,16,0,0,7,8,3,317.32115384615383,-63.11115384615383,1.0,0.0,5.542086735655903,0,-0.0900149545032376
AC00130,199.37,Debit,Chicago,D000413,198.24.183.157,M083,Online,24,Student,79,1,1331.3,0.1497558777135131,318.09222222222223,9,318.09222222222223,180.36710396977728,-0.6582254724349047,493,538.8888888888889,0.6267679184583087,9,17,3,0,9,9,7,256.1554545454546,-56.78545454545457,1.1111111111111112,-0.1111111111111111,5.300165657405654,0,-0.08858625040695917
AC00298,178.26,Debit,Oklahoma City,D000302,92.90.132.79,M003,ATM,59,Retired,59,1,1137.13,0.1567630789795361,131.48142857142858,7,131.48142857142858,79.69190264775366,0.5869927793710418,384,477.0,1.3557808272759866,7,16,0,0,7,7,4,214.01692307692304,-35.75692307692307,1.0,0.0,5.188837265929216,0,-0.08451177074226784
AC00121,213.76,Credit,Dallas,D000574,51.250.122.123,M009,ATM,78,Retired,282,1,3528.72,0.0605772064658006,147.365,2,147.365,93.89670947376165,0.7071067811865474,613,638.5,1.4505479591490515,2,17,2,0,2,2,7,350.868,-137.108,1.0,0.0,5.369521125554368,1,0.004516196896556357
AC00495,94.09,Debit,Miami,D000429,116.237.223.50,M042,Branch,27,Student,203,1,646.85,0.1454587616912731,300.72125,8,300.72125,277.36567896847447,-0.7449777159469172,418,462.75,0.3128811149860543,8,16,1,0,8,8,3,304.1444827586207,-210.0544827586207,1.5,-0.5,4.554823811551353,0,-0.08071177512269634
AC00322,440.03,Debit,San Jose,D000569,5.74.9.122,M099,Online,49,Engineer,88,1,1490.44,0.2952349641716539,340.74111111111114,9,340.74111111111114,284.2498429394661,0.349301473176305,340,458.8888888888889,1.2913909876184917,9,16,2,0,9,9,3,259.5232,180.5068,1.0,0.0,6.089112900343984,0,-0.08654100345405652
AC00076,324.04,Debit,Virginia Beach,D000642,101.120.142.50,M043,ATM,54,Retired,30,1,2248.06,0.1441420602652954,237.14857142857144,7,237.14857142857144,172.05355158870077,0.5050254863622065,487,540.8571428571429,1.3664008096190454,7,16,2,0,7,7,4,223.7783333333333,100.26166666666668,1.0,0.0,5.783948251679472,0,-0.08875104483734592
AC00286,7.79,Debit,Los Angeles,D000214,221.105.243.251,M097,Branch,34,Doctor,298,1,1319.85,0.0059021858544531,90.67333333333332,6,90.67333333333332,99.18299726599648,-0.8356607041330936,506,483.6666666666667,0.0859128005293728,4,17,4,0,6,6,8,300.9611538461538,-293.1711538461538,1.0,0.0,2.173614711697085,0,-0.037761103549204034
AC00412,407.65,Debit,Denver,D000013,8.136.178.116,M095,ATM,25,Student,263,1,273.78,1.4889692453795018,285.885,4,285.885,171.51002662623935,0.7099584927787023,454,494.0,1.4259230110009269,4,17,0,0,4,4,5,205.84,201.81,1.0,0.0,6.0128590439621385,0,-0.0650944207356392
AC00453,109.91,Debit,Seattle,D000517,173.135.78.201,M074,Branch,38,Doctor,90,1,12896.06,0.0085227581137184,263.41111111111115,9,263.41111111111115,153.76499564631447,-0.9982838452009566,552,560.3333333333334,0.4172565065170623,9,16,0,0,9,9,4,330.61925925925925,-220.70925925925928,1.2222222222222223,-0.2222222222222223,4.70871906161665,0,-0.07459892326046774
AC00356,862.34,Debit,Kansas City,D000137,49.174.157.140,M070,Branch,57,Doctor,72,1,9903.48,0.0870744425191952,322.90875,8,322.90875,295.42328592993965,1.825960496993211,528,545.125,2.670537729312074,7,16,3,0,8,8,6,261.320625,601.0193750000001,1.0,0.0,6.760808588003381,0,-0.04064285786739097
AC00496,58.94,Debit,Miami,D000686,56.116.189.0,M046,Online,30,Engineer,26,1,4575.98,0.0128803010502668,198.6266666666667,3,198.6266666666667,141.86290435957292,-0.9846595718399346,657,617.6666666666666,0.296737598174129,3,16,0,0,3,3,6,297.62807692307695,-238.68807692307692,1.0,0.0,4.0933440618885175,0,-0.07236215953052155
AC00050,38.81,Credit,Virginia Beach,D000285,120.32.147.210,M001,Online,25,Student,145,1,1619.6,0.0239627068411953,203.912,5,203.912,158.09626092985246,-1.0443131230868008,555,508.6,0.1903271999686139,5,18,4,0,5,5,4,260.0025,-221.1925,1.0,0.0,3.684118137012226,0,-0.03989050370635566
AC00190,106.41,Debit,Los Angeles,D000473,84.237.126.96,M063,Branch,57,Retired,87,1,1310.38,0.0812054518536607,220.828,5,220.828,246.93183061322813,-0.4633586513162577,657,565.0,0.4818682413462061,4,16,0,0,5,5,3,152.4961904761905,-46.086190476190495,1.0,0.0,4.676653287609955,0,-0.0669522548554653
AC00257,277.22,Debit,Kansas City,D000582,148.42.122.1,M035,Branch,35,Doctor,41,1,12104.51,0.0229022075243029,310.0018181818182,11,310.0018181818182,296.3583018178564,-0.1106154880114209,444,532.3636363636364,0.8942528196315566,11,17,3,0,11,11,7,297.85727272727274,-20.63727272727272,1.0,0.0,5.628412167631424,0,-0.05317803120901976
AC00047,280.57,Credit,Virginia Beach,D000538,170.225.23.251,M017,Online,25,Student,24,1,293.24,0.9567930705224388,403.05,4,403.05,269.0688460846654,-0.4551994843782858,646,467.75,0.6961171070586776,4,17,4,0,4,4,2,272.02086956521737,8.549130434782626,1.0,0.0,5.640381084517819,0,-0.039479356703088386
AC00150,122.63,Debit,Milwaukee,D000112,219.193.239.152,M029,Branch,21,Student,153,1,359.06,0.3415306633988748,290.08,7,290.08,344.2913847794239,-0.4863612840828987,563,591.1428571428571,0.4227454495311638,7,18,3,0,6,7,6,271.2928,-148.6628,1.4285714285714286,-0.4285714285714286,4.817293234018836,0,-0.06699472885008217
AC00436,308.62,Credit,Sacramento,D000482,61.95.76.233,M047,Branch,59,Engineer,101,1,9148.08,0.0337360407867005,206.974,5,206.974,114.07133614541384,0.8910739843568197,394,376.2,1.491105162967329,5,18,4,0,5,5,3,314.3939285714286,-5.773928571428598,1.0,0.0,5.73534573911232,0,-0.033976085900119524
AC00228,11.06,Debit,Colorado Springs,D000153,30.229.179.194,M037,ATM,34,Engineer,13,3,2782.21,0.0039752570798034,313.73749999999995,8,313.73749999999995,340.524461665909,-0.8888568489888959,368,472.875,0.0352524004940435,8,17,2,0,8,8,4,344.8013043478261,-333.7413043478261,1.75,1.25,2.4898941912990398,0,-0.02542166746536234
AC00032,1020.73,Debit,Fort Worth,D000676,166.79.195.157,M087,ATM,28,Student,87,1,1119.61,0.9116835326586936,376.0733333333333,9,376.0733333333333,299.5105850383255,2.152366890753381,468,470.44444444444446,2.714178085834323,9,16,0,0,9,9,3,227.9764,792.7536,1.4444444444444444,-0.4444444444444444,6.92925254799296,0,-0.027541691802332402
AC00360,361.22,Debit,Raleigh,D000338,173.135.78.201,M028,ATM,64,Retired,167,1,7061.73,0.0511517715913805,322.37166666666667,6,322.37166666666667,267.0380887751159,0.1454786225872414,566,501.1666666666667,1.1205079023694184,6,17,0,0,6,5,2,312.6157575757576,48.60424242424244,1.0,0.0,5.8922517620363895,0,-0.08918644587774127
AC00176,159.32,Debit,Seattle,D000446,37.227.215.145,M033,Branch,18,Student,100,1,304.44,0.5233215083431875,294.71,8,294.71,305.95987155180984,-0.4425090104571889,657,470.375,0.5405992331444471,8,18,0,0,8,8,3,324.457037037037,-165.13703703703703,1.0,0.0,5.0771718178965,0,-0.07661519714981074
AC00016,314.52,Debit,Memphis,D000361,146.69.70.214,M057,ATM,80,Retired,229,1,7071.32,0.0444782586560925,378.6616666666667,6,378.6616666666667,439.8123436383598,-0.145838714157163,594,536.5,0.8306095591050937,6,17,0,0,6,6,3,243.34148148148148,71.1785185185185,1.0,0.0,5.7542220714142704,0,-0.08002569811632171
AC00460,999.28,Debit,Boston,D000032,125.89.163.224,M050,Online,29,Engineer,40,1,4272.41,0.2338914102345046,464.195,12,464.195,463.109979996898,1.1554166895811318,531,503.1666666666667,2.152715992201553,10,17,0,0,12,12,7,353.62791666666664,645.6520833333334,1.1666666666666667,-0.1666666666666667,6.908035239789453,0,-0.009131773489124528
AC00327,493.42,Debit,Baltimore,D000474,28.149.72.129,M039,Branch,39,Engineer,111,1,2232.84,0.2209831425449203,459.555,6,459.555,464.546736626144,0.0728990160300141,508,494.0,1.073690853107898,6,17,2,0,6,6,4,248.334,245.086,1.0,0.0,6.203385358399711,0,-0.0814716058160469
AC00056,168.34,Debit,Phoenix,D000638,81.222.37.186,M068,ATM,64,Retired,240,1,7483.01,0.0224962949401377,83.11,6,83.11,59.64780398304703,1.4288874746205895,495,528.8333333333334,2.025508362411262,5,18,1,0,6,6,6,302.5021875,-134.1621875,1.0,0.0,5.131908528214131,0,-0.05379978175058753
AC00357,296.0,Debit,Las Vegas,D000623,32.71.250.58,M085,Branch,35,Doctor,248,1,7418.82,0.0398985283373905,306.725,6,306.725,273.8709857396362,-0.0391607748116699,538,524.8333333333334,0.9650338250876191,6,16,0,0,6,6,2,326.4096,-30.40960000000001,1.0,0.0,5.6937321388027,0,-0.08856576228790863
AC00140,211.7,Credit,Chicago,D000157,59.127.135.25,M064,Online,50,Doctor,205,1,12272.78,0.0172495555204281,150.40285714285713,7,150.40285714285713,76.00739168315269,0.8064629176155454,356,457.57142857142856,1.4075530480044072,7,16,0,0,7,7,2,323.9093103448276,-112.20931034482754,1.0,0.0,5.359882722206192,0,-0.05731640278554456
AC00439,154.99,Debit,Mesa,D000582,82.51.236.134,M025,Branch,25,Student,53,1,1419.31,0.1092009497572764,465.0899999999999,9,465.0899999999999,272.55649964732083,-1.1377457532704562,433,447.55555555555554,0.3332473284740588,8,17,0,0,9,9,7,269.83612903225804,-114.84612903225803,1.2222222222222223,-0.2222222222222223,5.049791902630777,0,-0.06806458198429272
AC00040,1237.56,Credit,Austin,D000077,219.96.187.255,M060,Branch,60,Engineer,159,1,9410.17,0.1315130332395695,585.114,5,585.114,482.408759953631,1.3524754402526042,356,490.6,2.115075011023493,4,17,0,0,5,5,4,333.30766666666665,904.2523333333334,1.0,0.0,7.121704693456404,0,-0.00855176179691719
AC00339,499.48,Debit,Charlotte,D000242,200.13.225.150,M012,ATM,24,Student,133,1,1242.62,0.4019571550433761,278.74222222222227,9,278.74222222222227,221.72294518034087,0.9955567638623876,656,490.8888888888889,1.7919065006298132,9,16,1,0,9,9,4,409.3409523809524,90.13904761904764,1.0,0.0,6.215567637916892,0,-0.0758824873961465
AC00120,202.55,Debit,Dallas,D000028,51.250.46.149,M029,ATM,21,Student,34,2,701.73,0.2886437803713679,290.7633333333333,6,290.7633333333333,226.69533199134625,-0.3891272597386378,355,504.3333333333333,0.6966146579692534,6,18,1,0,6,6,4,271.2928,-68.74279999999999,1.1666666666666667,0.8333333333333333,5.315911674948988,0,-0.06192962438965954
AC00080,991.82,Debit,Milwaukee,D000496,62.152.134.92,M042,Online,43,Engineer,300,1,3493.13,0.2839344656511495,373.06166666666667,6,373.06166666666667,377.4029664651123,1.6395163480797188,335,481.1666666666667,2.6585953171280887,6,16,0,0,6,6,4,304.1444827586207,687.6755172413793,1.0,0.0,6.900549378731808,0,-0.055816710302311445
AC00322,251.54,Debit,Tucson,D000410,49.174.157.140,M029,Branch,48,Doctor,177,1,254.75,0.9873994111874388,340.74111111111114,9,340.74111111111114,284.2498429394661,-0.3138123496874102,592,458.8888888888889,0.7382144149843315,9,17,2,0,9,9,5,271.2928,-19.752800000000008,1.0,0.0,5.531569652010535,0,-0.06839730274694583
AC00083,1531.31,Debit,San Diego,D000319,91.204.200.167,M078,Online,18,Student,62,4,859.86,1.7808829344311865,458.8966666666667,6,458.8966666666667,573.7084375069505,1.8692654024638444,377,427.1666666666667,3.3369385991036467,6,18,0,0,6,6,3,302.108,1229.202,1.5,2.5,7.334531679700015,1,0.03855842022122191
AC00284,768.94,Debit,Indianapolis,D000281,47.82.77.181,M051,Branch,64,Retired,53,1,6860.18,0.1120874379389462,441.66875,8,441.66875,338.6588489252232,0.9663744238151074,389,481.0,1.7409880142074805,7,17,2,0,8,8,7,292.34043478260867,476.5995652173914,1.0,0.0,6.646312589733725,0,-0.05187706642140255
AC00147,50.75,Debit,Boston,D000642,157.47.114.20,M018,ATM,62,Doctor,185,1,8271.47,0.0061355478530418,129.54,3,129.54,122.54013342574753,-0.6429730227749616,447,428.3333333333333,0.3917708815809789,3,18,0,0,3,3,4,374.7344444444444,-323.9844444444444,1.0,0.0,3.9464244321454784,0,-0.05935749117689465
AC00057,22.54,Debit,El Paso,D000075,161.161.26.115,M044,Online,26,Engineer,42,1,7139.11,0.0031572562966532,225.524,5,225.524,233.0330617745045,-0.8710523667942809,432,572.2,0.0999450169383303,5,16,1,0,5,5,4,291.1075,-268.5675,1.2,-0.1999999999999999,3.1587011018321305,0,-0.06735119751409346
AC00087,540.4,Debit,Houston,D000414,166.79.195.157,M061,Branch,45,Doctor,272,1,425.77,1.2692298658900345,204.7188888888889,9,204.7188888888889,178.3711626387828,1.8819247805817956,620,568.1111111111111,2.6397173359674784,9,16,2,0,9,9,4,186.14,354.26,1.0,0.0,6.2941583771802,0,-0.03452752045942531
AC00423,61.77,Debit,Charlotte,D000327,55.154.161.250,M082,Branch,56,Doctor,49,1,12352.2,0.0050007286151454,506.3566666666666,6,506.3566666666666,711.8578000040924,-0.6245442090598864,402,496.0,0.1219891117591684,6,17,3,0,6,6,4,365.9761111111111,-304.2061111111111,1.0,0.0,4.13947725232944,0,-0.0512668338595858
AC00300,63.41,Debit,Fort Worth,D000116,141.241.241.128,M035,ATM,26,Student,36,1,1546.22,0.0410096881426963,171.302,5,171.302,143.21915329312623,-0.7533349940924293,345,464.0,0.370164971804182,5,17,4,0,5,5,4,297.85727272727274,-234.44727272727275,1.0,0.0,4.165268900558799,0,-0.06655614996597681
AC00409,192.23,Debit,Albuquerque,D000117,167.164.55.0,M058,Online,54,Engineer,39,3,2610.67,0.0736324391822788,262.93999999999994,5,262.93999999999994,200.9477764246223,-0.3518824704513416,311,413.0,0.731079333688294,5,16,3,0,5,5,3,348.9725925925926,-156.74259259259262,1.4,1.6,5.263881189226909,0,-0.04898039148054184
AC00363,49.62,Debit,Portland,D000080,19.228.76.177,M055,ATM,55,Engineer,111,1,3841.42,0.0129170983646672,391.9091666666666,12,391.9091666666666,379.4357138378068,-0.902100551380836,332,474.6666666666667,0.1266109706543395,12,16,3,0,12,12,2,305.23,-255.61,1.0,0.0,3.9243467551169777,0,-0.014025435200655023
AC00136,132.33,Credit,Phoenix,D000437,88.55.149.101,M004,ATM,35,Engineer,47,1,7457.94,0.0177435055792886,485.06625,8,485.06625,335.44262809170726,-1.051554633967287,359,508.875,0.2728080958013467,8,16,4,0,8,7,1,265.2683870967742,-132.93838709677416,1.0,0.0,4.892827258127367,0,-0.03741208990727113
AC00007,466.64,Debit,Las Vegas,D000327,131.41.45.13,M082,ATM,58,Doctor,11,1,10915.11,0.0427517450579975,299.076,5,299.076,240.2364069619757,0.6974962792651235,426,419.0,1.560272305367198,5,16,0,0,5,5,4,365.9761111111111,100.66388888888888,1.0,0.0,6.147698769138618,0,-0.07397452294947743
AC00228,441.26,Credit,Tucson,D000490,92.180.81.50,M074,Branch,58,Doctor,87,5,13704.92,0.0321971963353306,313.73749999999995,8,313.73749999999995,340.524461665909,0.3744885150868054,615,472.875,1.406462408860911,8,16,0,0,8,8,3,330.61925925925925,110.64074074074074,1.75,3.25,6.0918979444292525,1,0.01998013984505065
AC00202,377.04,Debit,Chicago,D000587,203.170.198.177,M054,ATM,34,Engineer,64,1,3812.87,0.0988861408859992,310.1766666666667,12,310.1766666666667,201.27868203668325,0.3321928216975677,598,446.6666666666667,1.2155653229879746,12,16,3,0,12,12,3,349.355925925926,27.68407407407409,1.0,0.0,5.935000010126855,0,-0.0566689474760988
AC00154,12.94,Debit,Fresno,D000364,114.115.12.20,M098,Branch,23,Student,158,1,921.23,0.0140464379145273,173.886,5,173.886,172.6220002780642,-0.932360879498232,433,503.8,0.0744165717769113,5,17,0,0,5,5,3,266.20272727272726,-253.2627272727273,1.0,0.0,2.6347624053323777,0,-0.07397578348820005
AC00207,220.68,Credit,Raleigh,D000311,194.29.57.163,M050,Online,71,Retired,217,1,5549.2,0.0397678944712751,129.41,2,129.41,129.07527183779237,0.7071067811865477,391,351.0,1.705277799242717,2,18,0,0,2,2,6,353.62791666666664,-132.94791666666663,1.0,0.0,5.401234900554723,0,-0.006478426367835244
AC00454,124.84,Debit,Louisville,D000640,18.72.115.111,M051,Online,52,Retired,79,1,6711.78,0.0186001329006612,494.1825,4,494.1825,470.74533500078365,-0.7845908871287809,408,396.75,0.2526192246791418,4,17,4,0,4,4,5,292.34043478260867,-167.50043478260866,2.0,-1.0,4.835011258750022,0,-0.014408712772775223
AC00279,856.9,Debit,New York,D000673,191.25.177.160,M088,Branch,36,Engineer,150,1,8579.69,0.0998754034236668,235.88888888888889,9,235.88888888888889,303.0908118223169,2.04892753883668,597,562.7777777777778,3.632642487046632,9,16,4,0,9,8,6,300.0543333333334,556.8456666666666,1.3333333333333333,-0.3333333333333332,6.75448754257892,0,-0.02880676392987852
AC00353,34.03,Debit,Los Angeles,D000133,141.241.241.128,M016,Branch,57,Engineer,38,1,3077.2,0.0110587547120759,76.75,5,76.75,60.966804492280886,-0.7007091868396818,531,470.6,0.4433876221498371,5,17,0,0,5,5,7,319.1859090909091,-285.15590909090906,1.8,-0.8,3.5562048372093957,0,-0.041494179914542406
AC00202,132.36,Debit,Colorado Springs,D000203,41.0.10.107,M094,Branch,28,Student,160,1,319.65,0.4140778977006101,310.1766666666667,12,310.1766666666667,201.27868203668325,-0.8834351699215687,601,446.6666666666667,0.4267245548235951,12,17,0,0,12,12,9,249.28,-116.91999999999996,1.0,0.0,4.893052238442539,0,-0.04526294582692153
AC00217,40.83,Debit,Indianapolis,D000627,1.238.163.61,M040,ATM,48,Engineer,24,1,3944.12,0.0103521191038812,232.59666666666664,6,232.59666666666664,414.5652558363601,-0.4625729338552241,445,461.0,0.1755399188867711,6,16,2,0,6,6,6,291.16,-250.33,1.0,0.0,3.733613785454107,0,-0.08481466012403999
AC00322,43.73,Debit,Omaha,D000631,194.88.79.54,M011,ATM,34,Doctor,145,1,9929.43,0.0044040795896642,340.74111111111114,9,340.74111111111114,284.2498429394661,-1.0448945478374905,580,458.8888888888889,0.1283379039805391,9,16,0,0,9,9,6,184.53192307692308,-140.8019230769231,1.0,0.0,3.8006444174447567,0,-0.07124054717104689
AC00263,251.18,Debit,San Jose,D000056,134.222.122.238,M058,ATM,42,Engineer,246,1,8303.9,0.0302484374811835,310.168,5,310.168,261.43091041420485,-0.2256351397259828,521,456.2,0.8098191947589694,5,16,3,0,5,5,4,348.9725925925926,-97.7925925925926,1.0,0.0,5.53014311824508,0,-0.08829026015266722
AC00487,85.31,Debit,Kansas City,D000332,45.64.74.86,M019,ATM,62,Retired,27,1,6095.65,0.0139952261038609,120.13,4,120.13,113.37213914067834,-0.3071301314760713,328,425.0,0.7101473403812537,4,16,0,0,4,4,5,210.08133333333336,-124.77133333333336,1.0,0.0,4.457945466231566,0,-0.06611797719595913
AC00303,981.9,Credit,Baltimore,D000686,160.65.101.37,M029,Online,43,Doctor,112,1,9018.33,0.1088782512948628,498.2416666666666,6,498.2416666666666,610.5499395599566,0.7921683420064243,341,389.3333333333333,1.9707304019133955,6,16,1,0,6,6,6,271.2928,710.6071999999999,1.0,0.0,6.890507385572584,0,-0.009619291517365847
AC00344,716.62,Debit,Atlanta,D000310,57.141.198.111,M084,ATM,44,Doctor,241,1,6987.4,0.1025588917193806,572.9200000000001,4,572.9200000000001,596.2324759688959,0.2410133727896708,573,521.75,1.2508203588633664,4,16,0,0,4,4,7,242.8781481481481,473.74185185185183,1.0,0.0,6.575940181036251,0,-0.05239080501760418
AC00327,720.89,Debit,Indianapolis,D000496,100.198.165.4,M008,ATM,27,Student,120,1,447.06,1.6125128618082585,459.555,6,459.555,464.546736626144,0.5625591127773136,321,494.0,1.568669691331832,6,17,0,0,6,6,4,222.6319047619048,498.2580952380952,1.0,0.0,6.5818727727150526,0,-0.04939114733548411
AC00182,271.22,Credit,Louisville,D000052,4.105.134.118,M056,ATM,45,Doctor,87,1,6863.02,0.0395190455513753,444.20125,8,444.20125,263.8652513493257,-0.6555666163521988,580,523.625,0.6105791012519665,8,16,0,0,8,8,4,283.3940909090909,-12.174090909090864,1.125,-0.125,5.606610562903928,0,-0.04911743899791243
